DATE,GDP,CPI,EXR,M2,IR
2-Mar,7199.630721,34.14153063,15250,16884.09476,4.8
2-Jun,9275.41521,34.28489524,15321,17222.10773,4.8
2-Sep,8668.68243,34.35339647,15347,17527.03416,4.8
2-Dec,9902.555876,34.61749856,15403,18140.09299,4.8
3-Mar,7948.269156,35.47595763,15443,19451.70619,5.4
3-Jun,10146.78128,35.53037329,15499,20304.18094,6.4
3-Sep,9977.902332,35.32926761,15557,21408.42458,5.333333333
3-Dec,11458.64902,35.50604229,15646,23177.23444,5
4-Mar,8720.945029,36.98174642,15724,25204.30004,5
4-Jun,11573.24436,38.05757961,15723,26450.24214,5
4-Sep,11015.99184,38.75873345,15755,27804.07608,5
4-Dec,14175.9393,39.04332611,15777,30190.8425,5
5-Mar,10422.76874,40.33120569,15823,32353.36359,5
5-Jun,13666.63744,41.12420283,15857,33836.67898,5
5-Sep,13059.73711,41.68893448,15895,35613.20214,5
5-Dec,15891.15415,42.35929788,15916,38686.01649,5
6-Mar,11608.96832,43.68349137,15927,43068.73492,5
6-Jun,15192.58291,44.16879305,15996,44889.56353,5
6-Sep,15541.04903,44.7068434,16055,46706.16049,5
6-Dec,18650.09013,45.22160153,16054,49743.06638,5.5
7-Mar,13102.50357,46.57754547,16024,56482.81298,6.5
7-Jun,17535.05116,47.44658926,16125,62318.68925,6.5
7-Sep,18186.69589,48.54543651,16105,66942.40375,6.5
7-Dec,22105.17389,50.04598022,16114,74210.15059,6.5
8-Mar,15821.33202,54.21739972,15960,80536.80467,7.166666667
8-Jun,23067.16669,59.06561631,16514,79722.25028,10
8-Sep,23677.62012,62.01853483,16517,79806.11729,15
8-Dec,27890.34816,61.8379489,16977,85526.53116,12.25
9-Mar,18329.98943,62.04150464,16954,94225.24146,8
9-Jun,24818.4001,62.72692443,16953,102449.209,7
9-Sep,25070.68782,63.60894529,16991,106992.5049,7
9-Dec,28854.50692,64.69074457,17941,107041.6965,7.333333333
10-Mar,22637.91267,67.32652479,18544,106180.7039,8
10-Jun,28396.07283,68.3658085,18544,112624.2292,8
10-Sep,29087.19288,68.97382825,18932,119765.8002,8
10-Dec,35574.1139,71.70311964,18932,126357.263,8.666666667
11-Mar,25382.0799,75.94214903,20703,124434.1548,10.66666667
11-Jun,31962.26538,81.61150289,20618,121276.9764,13.66666667
11-Sep,34285.60867,84.51615,20628,128924.1513,14
11-Dec,43604.59865,85.91899369,20828,129122.412,15
12-Mar,30079.6553,88.04051692,20828,134090.7684,14.66666667
12-Jun,36561.20057,88.60665487,20828,140456.1339,12
12-Sep,38439.6452,89.27120955,20828,148138.2449,10
12-Dec,50739.51175,91.90002241,20828,158194.8672,9.666666667
13-Mar,32793.43783,94.12323343,20828,173125.1422,8.666666667
13-Jun,39891.06142,94.41104432,21036,178678.9165,7.333333333
13-Sep,43105.95883,95.53975583,21036,183687.9156,7
13-Dec,55304.30739,97.33417376,21036,193051.6861,7
14-Mar,36013.00852,98.66523756,21036,204658.4306,6.833333333
14-Jun,43290.80205,98.86454287,21246,211627.214,6.5
14-Sep,47164.1956,99.63444437,21246,217811.9989,6.5
14-Dec,59604.56,99.82280851,21246,228851.77,6.5
15-Mar,37749.2657,99.39042525,21485,238200.5115,6.5
15-Jun,44946.43831,99.83510335,21673,242760.2355,6.5
15-Sep,49243.79456,100.1342777,21890,248092.5249,6.5
15-Dec,61239.45381,100.1330128,21890,256877.8291,6.5
16-Mar,38852.87686,100.6366539,21857,271310.7379,6.5
16-Jun,47155.19179,102.0211204,21873,284120.4962,6.5
16-Sep,52902.12408,102.9074144,21949,294714.9811,6.5
16-Dec,66267.57124,104.5870903,22159,302885.2321,6.5
17-Mar,41944.57161,105.6291026,22276,314170.4462,6.5
17-Jun,50473.79716,105.4288143,22431,319373.3254,6.5
17-Sep,56599.8936,106.0910037,22470,330061.7085,6.25
17-Dec,74599.91219,107.4417721,22425,340240.3933,6.25
18-Mar,45849.37465,108.6102256,22458,356623.6505,6.25
18-Jun,55088.31725,109.3871603,22650,369598.1622,6.25
18-Sep,62282.28558,110.4797813,22714,372079.5225,6.25
18-Dec,81733.74729,111.1424568,22825,379568.1803,6.25
19-Mar,48815.27293,111.4710181,22980,392179.0017,6.25
19-Jun,59344.17999,112.2902546,23066,398727.1965,6.25
19-Sep,66698.90629,112.938172,23161,407060.8192,6.166666667
19-Dec,86850.79785,115.2111689,23155,420497.5128,6
